Name,Team,Fangraphs Link,Owner,Fangraphs Name,DOB,Position,Level,WAR,AB,R,HR,RBI,SB,AVG,OPS,ISO,wOBA,K%,BB%,EV,LA,HardHit%,Barrel%,wRC,wRC400,IP,W,SO,SV,HLD,ERA,WHIP,BB,SO%,K/9,WALK%,WALK/9,K/BB,FIP,xFIP,SIERA,FB Velo
,New York Mets ,https://www.fangraphs.com/players/willy-fanas/sa3018389/stats?position=OF,,Willy Fanas ,1/23/2004,OF,DSL,0,101.0,16.0,0.0,10.0,10.0,0.257,0.627,0.04,0.285,20.9%,9.6%,0.0,0.0,0%,0%,13.0,45.0,,,,,,,,,,,,,,,,,
,San Francisco Giants ,https://www.fangraphs.com/players/juan-perez/sa3018516/stats?position=C,,Juan Perez ,9/22/2004,C,DSL,0,153.0,25.0,3.0,12.0,1.0,0.222,0.606,0.072,0.279,28.9%,8.1%,0.0,0.0,0%,0%,18.0,42.0,,,,,,,,,,,,,,,,,
,San Francisco Giants ,https://www.fangraphs.com/players/erick-arosemena/sa3018538/stats?position=OF,,Erick Arosemena ,4/2/2005,OF,DSL,0,107.0,10.0,3.0,15.0,4.0,0.178,0.585,0.131,0.265,35.0%,8.9%,0.0,0.0,0%,0%,11.0,36.0,,,,,,,,,,,,,,,,,
,Toronto Blue Jays ,https://www.fangraphs.com/players/luis-meza/sa3018423/stats?position=C,,Luis Meza ,9/23/2004,C,DSL,0,96.0,6.0,0.0,8.0,2.0,0.229,0.559,0.062,0.249,18.8%,5.0%,0.0,0.0,0%,0%,8.0,32.0,,,,,,,,,,,,,,,,,
,Detroit Tigers ,https://www.fangraphs.com/players/javier-osorio/sa3018410/stats?position=SS,,Javier Osorio ,3/29/2005,SS,DSL,0,154.0,17.0,1.0,12.0,15.0,0.175,0.508,0.052,0.242,38.2%,9.0%,0.0,0.0,0%,0%,13.0,29.0,,,,,,,,,,,,,,,,,
,Kansas City Royals ,https://www.fangraphs.com/players/juan-olmos/sa3019778/stats?position=C,,Juan Olmos ,11/22/2004,C,DSL,0,49.0,7.0,1.0,6.0,0.0,0.163,0.533,0.102,0.247,35.7%,8.9%,0.0,0.0,0%,0%,4.0,29.0,,,,,,,,,,,,,,,,,
,Pittsburgh Pirates ,https://www.fangraphs.com/players/tony-blanco/sa3019722/stats?position=OF,,Tony Blanco Jr. ,5/14/2005,OF,DSL,0,19.0,1.0,1.0,4.0,0.0,0.211,0.579,0.158,0.248,52.6%,0.0%,0.0,0.0,0%,0%,1.0,21.0,,,,,,,,,,,,,,,,,
, ,https://www.fangraphs.com/players/lazaro-montes/sa3018409/stats?position=OF,,Lazaro Montes ,10/22/2004,OF,MLB,0,176.0,34.0,10.0,41.0,3.0,0.284,1.007,0.301,0.426,33.2%,15.7%,0.0,0.0,0%,0%,52.0,93.0,,,,,,,,,,,,,,,,,
,St. Louis Cardinals ,https://www.fangraphs.com/players/jonathan-mejia/sa3018411/stats?position=SS,,Jonathan Mejia ,4/12/2005,SS,DSL,0,165.0,33.0,5.0,34.0,3.0,0.267,0.897,0.212,0.395,23.1%,15.9%,0.0,0.0,0%,0%,43.0,83.0,,,,,,,,,,,,,,,,,
,New York Mets ,https://www.fangraphs.com/players/jesus-baez/sa3018507/stats?position=SS,,Jesus Baez ,2/26/2005,SS,DSL,0,186.0,36.0,7.0,34.0,8.0,0.242,0.744,0.161,0.33,21.2%,12.0%,0.0,0.0,0%,0%,32.0,59.0,,,,,,,,,,,,,,,,,
,San Diego Padres ,https://www.fangraphs.com/players/yendry-rojas/sa3018418/stats?position=SS,,Yendry Rojas ,1/27/2005,SS,DSL,0,154.0,29.0,0.0,18.0,14.0,0.279,0.73,0.078,0.326,12.3%,13.9%,0.0,0.0,0%,0%,28.0,60.0,,,,,,,,,,,,,,,,,
,Boston Red Sox ,https://www.fangraphs.com/players/freili-encarnacion/sa3018414/stats?position=SS,,Freili Encarnacion ,1/26/2005,SS,DSL,0,149.0,31.0,3.0,23.0,9.0,0.255,0.704,0.114,0.313,29.5%,8.7%,0.0,0.0,0%,0%,24.0,55.0,,,,,,,,,,,,,,,,,
,Milwaukee Brewers ,https://www.fangraphs.com/players/jhonny-severino/sa3018415/stats?position=SS,,Jhonny Severino ,11/8/2004,SS,DSL,0,179.0,26.0,3.0,25.0,10.0,0.268,0.724,0.123,0.32,27.8%,7.1%,0.0,0.0,0%,0%,28.0,57.0,,,,,,,,,,,,,,,,,
,Seattle Mariners ,https://www.fangraphs.com/players/michael-arroyo/sa3018429/stats?position=SS,,Michael Arroyo ,11/3/2004,SS,DSL,0,153.0,46.0,4.0,22.0,4.0,0.314,0.941,0.17,0.415,16.6%,13.6%,0.0,0.0,0%,0%,46.0,92.0,,,,,,,,,,,,,,,,,
,New York Yankees ,https://www.fangraphs.com/players/roderick-arias/sa3019674/stats?position=SS,,Roderick Arias ,9/9/2004,SS,DSL,0,108.0,25.0,3.0,11.0,10.0,0.194,0.749,0.176,0.343,32.9%,20.0%,0.0,0.0,0%,0%,23.0,66.0,,,,,,,,,,,,,,,,,
,Chicago White Sox ,https://www.fangraphs.com/players/ryan-burrowes/sa3018619/stats?position=SS,,Ryan Burrowes ,8/17/2004,SS,DSL,0,158.0,38.0,3.0,18.0,12.0,0.266,0.785,0.127,0.353,17.3%,12.8%,0.0,0.0,0%,0%,34.0,69.0,,,,,,,,,,,,,,,,,
, ,https://www.fangraphs.com/players/loidel-chapelli/sa3019400/stats?position=2B,,Loidel Chapelli ,12/20/2001,2B,MLB,0,154.0,41.0,8.0,29.0,10.0,0.344,1.084,0.292,0.458,12.0%,14.8%,0.0,0.0,0%,0%,47.0,103.0,,,,,,,,,,,,,,,,,
,Chicago Cubs ,https://www.fangraphs.com/players/alexis-hernandez/sa3018413/stats?position=SS,,Alexis Hernandez ,12/27/2004,SS,DSL,0,123.0,19.0,2.0,15.0,10.0,0.244,0.675,0.098,0.304,19.1%,11.3%,0.0,0.0,0%,0%,18.0,51.0,,,,,,,,,,,,,,,,,
,Cleveland Guardians ,https://www.fangraphs.com/players/victor-izturis/sa3018428/stats?position=C,,Victor Izturis ,3/22/2005,C,DSL,0,119.0,24.0,0.0,25.0,0.0,0.252,0.698,0.059,0.325,10.7%,13.3%,0.0,0.0,0%,0%,23.0,61.0,,,,,,,,,,,,,,,,,
, ,https://www.fangraphs.com/players/jefferson-rojas/sa3018571/stats?position=2B,,Jefferson Rojas ,4/25/2005,2B,MLB,0,145.0,27.0,1.0,19.0,15.0,0.303,0.797,0.103,0.352,10.7%,9.5%,0.0,0.0,0%,0%,29.0,69.0,,,,,,,,,,,,,,,,,
,San Diego Padres ,https://www.fangraphs.com/players/maikol-munoz/sa3018390/stats?position=3B,,Maikol Munoz ,10/21/2003,3B,DSL,0,184.0,32.0,5.0,32.0,2.0,0.288,0.81,0.147,0.355,24.4%,9.9%,0.0,0.0,0%,0%,37.0,69.0,,,,,,,,,,,,,,,,,
,Detroit Tigers ,https://www.fangraphs.com/players/josue-briceno/sa3018584/stats?position=C/1B,,Josue Briceno ,9/23/2004,C/1B,DSL,0,145.0,15.0,4.0,16.0,1.0,0.234,0.671,0.138,0.292,23.0%,8.1%,0.0,0.0,0%,0%,18.0,45.0,,,,,,,,,,,,,,,,,
,Oakland Athletics ,https://www.fangraphs.com/players/cesar-gonzalez/sa3019308/stats?position=C,,Cesar Gonzalez ,1/13/2005,C,DSL,0,50.0,8.0,0.0,8.0,1.0,0.28,0.779,0.02,0.376,11.3%,19.7%,0.0,0.0,0%,0%,14.0,79.0,,,,,,,,,,,,,,,,,
,San Francisco Giants ,https://www.fangraphs.com/players/dennys-riera/sa3019675/stats?position=2B/SS,,Dennys Riera ,2/17/2005,2B/SS,DSL,0,104.0,12.0,2.0,14.0,1.0,0.154,0.516,0.125,0.233,27.1%,7.6%,0.0,0.0,0%,0%,7.0,24.0,,,,,,,,,,,,,,,,,
,Minnesota Twins ,https://www.fangraphs.com/players/bryan-acuna/sa3018427/stats?position=SS,,Bryan Acuna ,8/11/2005,SS,DSL,0,145.0,33.0,0.0,16.0,9.0,0.31,0.802,0.083,0.361,21.1%,11.7%,0.0,0.0,0%,0%,31.0,73.0,,,,,,,,,,,,,,,,,
,Arizona Diamondbacks ,https://www.fangraphs.com/players/andy-encarnacion/sa3018498/stats?position=OF,,Andy Encarnacion ,1/18/2005,OF,DSL,0,159.0,35.0,1.0,20.0,3.0,0.226,0.66,0.107,0.297,22.5%,12.3%,0.0,0.0,0%,0%,23.0,49.0,,,,,,,,,,,,,,,,,
,Arizona Diamondbacks ,https://www.fangraphs.com/players/jansel-luis/sa3018508/stats?position=2B/SS,,Jansel Luis ,3/6/2005,2B/SS,DSL,0,174.0,35.0,1.0,18.0,9.0,0.345,0.813,0.069,0.36,11.9%,6.2%,0.0,0.0,0%,0%,35.0,73.0,,,,,,,,,,,,,,,,,
,Houston Astros ,https://www.fangraphs.com/players/samuel-capellan/sa3018500/stats?position=2B,,Samuel Capellan ,1/5/2005,2B,DSL,0,68.0,11.0,1.0,7.0,9.0,0.265,0.723,0.088,0.327,28.4%,13.6%,0.0,0.0,0%,0%,12.0,59.0,,,,,,,,,,,,,,,,,
,Milwaukee Brewers ,https://www.fangraphs.com/players/gery-holguin/sa3018534/stats?position=2B/3B/SS,,Gery Holguin ,8/3/2005,2B/3B/SS,DSL,0,162.0,23.0,2.0,16.0,6.0,0.191,0.584,0.043,0.285,26.1%,17.7%,0.0,0.0,0%,0%,23.0,45.0,,,,,,,,,,,,,,,,,
,Cleveland Guardians ,https://www.fangraphs.com/players/yorfran-john/sa3019723/stats?position=3B/SS,,Yorfran John ,9/14/2004,3B/SS,DSL,0,55.0,6.0,0.0,3.0,1.0,0.273,0.63,0.018,0.287,19.4%,9.7%,0.0,0.0,0%,0%,7.0,45.0,,,,,,,,,,,,,,,,,
,Boston Red Sox ,https://www.fangraphs.com/players/natanael-yuten/sa3018486/stats?position=OF,,Natanael Yuten ,10/9/2004,OF,DSL,0,199.0,30.0,1.0,24.0,4.0,0.307,0.771,0.09,0.342,19.3%,7.6%,0.0,0.0,0%,0%,36.0,65.0,,,,,,,,,,,,,,,,,
,Philadelphia Phillies ,https://www.fangraphs.com/players/leny-carela/sa3019402/stats?position=2B/3B,,Leny Carela ,10/9/2004,2B/3B,DSL,0,96.0,12.0,0.0,10.0,10.0,0.26,0.668,0.031,0.31,15.3%,16.1%,0.0,0.0,0%,0%,16.0,54.0,,,,,,,,,,,,,,,,,
,Milwaukee Brewers ,https://www.fangraphs.com/players/fabricio-valera/sa3018539/stats?position=OF,,Fabricio Valera ,9/21/2004,OF,DSL,0,38.0,2.0,0.0,2.0,1.0,0.132,0.553,0.0,0.308,22.8%,29.8%,0.0,0.0,0%,0%,8.0,56.0,,,,,,,,,,,,,,,,,
,Atlanta Braves ,https://www.fangraphs.com/players/alexander-martinez/sa3018517/stats?position=C,,Alexander Martinez ,11/16/2004,C,DSL,0,164.0,21.0,2.0,26.0,2.0,0.244,0.631,0.091,0.281,18.8%,6.8%,0.0,0.0,0%,0%,18.0,41.0,,,,,,,,,,,,,,,,,
,Texas Rangers ,https://www.fangraphs.com/players/daniel-bruzual/sa3018531/stats?position=C,,Daniel Bruzual ,2/1/2005,C,DSL,0,114.0,6.0,0.0,14.0,0.0,0.202,0.536,0.096,0.235,18.0%,1.6%,0.0,0.0,0%,0%,8.0,26.0,,,,,,,,,,,,,,,,,
,San Diego Padres ,https://www.fangraphs.com/players/estuar-suero/sa3018481/stats?position=OF,,Estuar Suero ,8/29/2005,OF,DSL,0,152.0,33.0,3.0,21.0,14.0,0.25,0.741,0.145,0.329,29.5%,11.9%,0.0,0.0,0%,0%,26.0,59.0,,,,,,,,,,,,,,,,,
,Pittsburgh Pirates ,https://www.fangraphs.com/players/roinny-aguiar/sa3019439/stats?position=2B,,Roinny Aguiar ,4/1/2005,2B,DSL,0,103.0,25.0,1.0,12.0,18.0,0.204,0.715,0.087,0.345,21.1%,25.9%,0.0,0.0,0%,0%,24.0,65.0,,,,,,,,,,,,,,,,,
,Boston Red Sox ,https://www.fangraphs.com/players/franyer-noria/sa3018528/stats?position=2B/3B,,Franyer Noria ,9/24/2004,2B/3B,DSL,0,97.0,21.0,0.0,11.0,9.0,0.299,0.79,0.093,0.354,21.1%,13.2%,0.0,0.0,0%,0%,20.0,70.0,,,,,,,,,,,,,,,,,
,Boston Red Sox ,https://www.fangraphs.com/players/natanael-eusebio/sa3019205/stats?position=OF,,Natanael Eusebio ,7/2/2005,OF,DSL,0,48.0,6.0,1.0,3.0,0.0,0.188,0.642,0.104,0.304,45.0%,16.7%,0.0,0.0,0%,0%,8.0,53.0,,,,,,,,,,,,,,,,,
,Chicago White Sox ,https://www.fangraphs.com/players/oscar-colas/sa3018099/stats?position=OF,,Oscar Colas ,9/17/1998,OF,AAA,0,481.0,81.0,23.0,79.0,3.0,0.314,0.895,0.21,0.384,22.8%,7.2%,0.0,0.0,0%,0%,94.0,71.0,,,,,,,,,,,,,,,,,
,San Diego Padres ,https://www.fangraphs.com/players/oliver-cedeno/sa3020136/stats?position=SS,,Oliver Cedeno ,9/10/2004,SS,DSL,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0%,0%,0.0,0.0,,,,,,,,,,,,,,,,,
,Cincinnati Reds ,https://www.fangraphs.com/players/jose-montero/sa3018312/stats?position=P,,Jose Montero ,7/14/2003,P,CPX,0,,,,,,,,,,,,,,,,,,39.67,2.0,53.0,0.0,0.0,3.4,1.36,11.0,30.6%,12.02,6.4%,2.5,4.82,2.34,2.55,0.0,0.0
,Washington Nationals ,https://www.fangraphs.com/players/jarlin-susana/sa3018808/stats?position=P,,Jarlin Susana ,3/23/2004,P,A,0,,,,,,,,,,,,,,,,,,45.0,0.0,66.0,0.0,0.0,2.4,1.07,20.0,36.9%,13.2,11.2%,4.0,3.3,2.29,2.61,0.0,0.0
,Los Angeles Angels ,https://www.fangraphs.com/players/nixon-encarnacion/sa3018319/stats?position=P,,Nixon Encarnacion ,12/30/2004,P,DSL,0,,,,,,,,,,,,,,,,,,35.67,3.0,43.0,0.0,0.0,3.28,1.43,21.0,27.6%,10.85,13.5%,5.3,2.05,3.51,4.43,0.0,0.0
,San Diego Padres ,https://www.fangraphs.com/players/braian-salazar/sa3019741/stats?position=P,,Braian Salazar ,6/12/2005,P,DSL,0,,,,,,,,,,,,,,,,,,14.67,0.0,12.0,0.0,0.0,4.29,1.16,5.0,20.3%,7.36,8.5%,3.07,2.4,4.68,4.43,0.0,0.0
,Pittsburgh Pirates ,https://www.fangraphs.com/players/hung-leng-chang/sa3019518/stats?position=P,,Hung-Leng Chang ,10/7/2001,P,CPX,0,,,,,,,,,,,,,,,,,,22.67,3.0,27.0,1.0,0.0,4.76,1.32,8.0,27.8%,10.72,8.2%,3.18,3.38,1.79,3.17,0.0,0.0
,Colorado Rockies ,https://www.fangraphs.com/players/ervin-torres/sa3018827/stats?position=P,,Ervin Torres ,11/3/2004,P,DSL,0,,,,,,,,,,,,,,,,,,38.67,4.0,28.0,0.0,0.0,2.79,1.06,4.0,17.7%,6.52,2.5%,0.93,7.0,2.63,3.98,0.0,0.0
,Boston Red Sox ,https://www.fangraphs.com/players/dennis-reguillo/sa3019535/stats?position=P,,Dennis Reguillo ,9/9/2003,P,DSL,0,,,,,,,,,,,,,,,,,,32.33,0.0,26.0,0.0,0.0,5.57,1.58,16.0,17.0%,7.24,10.5%,4.45,1.62,3.46,4.6,0.0,0.0
