,name,dob,owner
77,Thomas Dillard,,CIN
78,JD Orr,1996-09-11,CIN
79,Cody Deason,1996-12-26,CIN
80,Erinson Placencia,,CIN
81,Anfernee Grier,1995-10-13,CIN
82,Randy Rosario,1994-05-18,CIN
83,Jacob Heyward,1995-08-01,CIN
84,Curt Casali,1988-11-09,CIN
85,Ian Desmond,1985-09-20,BAL
86,Tejay Antone,1993-12-05,BAL
87,Jordan Zimmermann,1986-05-23,BAL
88,Antonio Santos,,BAL
89,Santiago Espinal,1994-11-13,BAL
90,Kodi Medeiros,1996-05-25,BAL
91,Brady Lail,1993-08-09,BAL
92,Daniel Castano,1994-09-17,BAL
93,Curtis Terry,1996-10-06,BAL
94,Hector Yan,,BAL
95,Jacob Rhame,1993-03-16,BAL
96,Nate Eovaldi,1990-02-13,BAL
97,Edinson Volquez,1983-07-03,BAL
98,Ryan Jensen,,BAL
99,Cavan Biggio,1995-04-11,BAL
100,Rangel Ravelo,1992-04-24,BAL
101,Pablo Sandoval,1986-08-11,BAL
102,Brad Zunica,1995-10-21,BAL
103,Zack Littell,1995-10-05,BAL
104,Josh Stephen,,BAL
105,Jackson Rees,,BAL
106,Christian Vazquez,,BAL
107,Andrew Stevenson,,BAL
108,Joey Rickard,1991-05-21,BAL
109,Josh Ockimey,1995-10-18,BAL
110,Gray Fenter,1996-01-25,BAL
111,Joey Bart,,BAL
112,Tristan Beck,1996-06-24,BAL
113,Trevor Williams,,BAL
114,Williams Jerez,1992-05-16,BAL
115,Michael Grove,,BAL
116,John Means,,BAL
117,Preston Palmeiro,1995-01-22,BAL
118,Tommy Milone,1987-02-16,BAL
119,Mac Sceroler,1995-04-09,BAL
120,Francis Martes,1995-11-24,BAL
121,Brayan Medina,,BAL
122,Marshall Kasowski,1995-03-10,BAL
123,Tyler Olson,,BAL
124,Cristhian Adames,1991-07-26,BAL
125,Brock Burke,1996-08-04,BAL
126,Colton Hock,1996-03-15,BAL
127,Sean Poppen,1994-03-15,BAL
128,John Curtiss,,BAL
129,John Ryan Murphy,1991-05-13,BAL
130,Andre Scrubb,1995-01-13,BAL
131,Kyle Finnegan,,BAL
132,Eddy Alvarez,1990-01-30,BAL
133,Dexter Fowler,1986-03-22,BAL
134,Emmanuel Rodriguez,,BAL
135,Brett Anderson,,BAL
136,Joe Panik,1990-10-30,BAL
137,Grayson Huffman,1995-05-06,BAL
138,Brandon Morrow,1984-07-26,BAL
139,Brett Cecil,1986-07-02,BAL
140,Matt Harvey,,BAL
141,Jose Cisnero,1989-04-11,BAL
142,Jon Jay,,BAL
143,Jordy Mercer,1986-08-27,BAL
144,Matt Wieters,1986-05-21,BAL
145,Codi Heuer,1996-07-03,BAL
146,Chris Davis,1986-03-17,BAL
147,Dylan Coleman,,BAL
148,Robert Neustrom,1996-11-12,BAL
149,Micker Adolfo (Zapata),,BAL
150,Zach Granite,1992-09-17,BAL
151,Sheldon Neuse,1994-12-10,BAL
152,Kohl Stewart,1994-10-07,BAL
153,Matt Joyce,1984-08-03,BAL
154,Jaime Barria,1996-07-18,BAL
155,Thomas Jones,,BAL
156,Nick Banks,,BAL
157,Will Gaddis,1996-03-12,BAL
158,Quinn Brodey,1995-12-01,BAL
